Iteration	likelihood	prior	acceptance	tree	lambda1	lambda2	lambda3	mu1	mu2	mu3	q12	q13	q21	q23	q31	q32	g_lamb	g_mu	g_q	
0	 -387.474927872971	 25.3052345858442	 0.3805	 1	 0.118307802156378	 0.12540420360289	 0.178185313561337	 0.0522232984641245	 0.0366055655118096	 0.0404783136961491	 0.00228256325119225	 0.00622974097411079	 0.00229804527161907	 0.00426995273558469	 0.000103070504659824	 0.00512097008300604	 0.187262791907842	 0.0811501323779208	 0.0063011473004121	 
2000	 -389.116707503634	 22.3797090497232	 0.392	 1	 0.17418766295096	 0.101820830991529	 0.182107966204948	 0.116533759350496	 0.0381109116743541	 0.0252279173092104	 0.00146073826671798	 0.00349457863363249	 0.00197599791040646	 0.00146970824691776	 0.00609975177432123	 0.00600143675521057	 0.288601838809113	 0.0983005107279279	 0.000897781946409852	 
4000	 -389.348604333544	 20.2766038099498	 0.4005	 1	 0.155585801030298	 0.144077553167612	 0.166983828135942	 0.0731639624458413	 0.00877316182774015	 0.00713882092094471	 0.0125316924234765	 0.0032543397033066	 0.000379557343378062	 0.0279968751756693	 0.00313657078271004	 0.00489378095028417	 0.299487738758107	 0.00433599234985381	 0.0131494137053251	 
6000	 -389.343173023893	 29.1462409622694	 0.40175	 1	 0.0972340477730266	 0.0890645634131301	 0.138546740200289	 0.00282314827157884	 0.00126220035057576	 0.000130570310695859	 0.00180042063996451	 0.00254584830011713	 0.0076036696729292	 0.017368942167557	 0.00397149757442388	 0.00108057181422867	 0.418382596953943	 0.0124037228188588	 0.00362652148814292	 
8000	 -392.600700832026	 19.9300945831495	 0.4086	 1	 0.258030524047848	 0.0888204082368581	 0.197744622518284	 0.265364378888525	 0.0272892766221899	 0.0941211116118981	 0.00117269323050254	 0.000989562624385913	 0.000995691107550331	 0.0127400842793227	 0.00676807263377419	 0.00619449488577028	 0.201696662894212	 0.252144147935422	 0.00574097831143898	 
10000	 -388.585525089705	 19.5590246835419	 0.400583333333333	 1	 0.14689927361192	 0.141713267041134	 0.210790176007167	 0.0193516582150694	 0.0653628871003937	 0.038647077975472	 0.000713685200299547	 0.000289742523842645	 0.00950232350290738	 0.0240376450065459	 0.000583795857268651	 0.00311469108736534	 0.255587388574489	 0.135973572270367	 0.0112255752147518	 
12000	 -392.181684197209	 23.0693494219517	 0.399214285714286	 1	 0.144793225468486	 0.203078116696308	 0.193928179028061	 0.0825515021483039	 0.128551743466111	 0.0641161117684447	 0.00174685538114285	 0.00143411828177856	 0.00849151962080674	 0.000114676441184885	 0.000898644713214023	 0.00319510300562582	 0.0406546486700353	 0.17507453455132	 0.00228886749792934	 
14000	 -387.678175616271	 26.2083997736258	 0.3985625	 1	 0.0855308946245634	 0.102023097070144	 0.176255256538639	 0.00198306367466281	 0.00773597940325488	 0.0241588381526614	 0.0024478643329721	 0.00103400261935936	 0.00833781653431736	 0.00795091067329868	 0.000195716367857843	 0.0053028029311809	 0.169806263972768	 0.0366873881818093	 0.00977704575413766	 
16000	 -387.516581309774	 25.9521025851139	 0.400055555555556	 1	 0.178029706889901	 0.122584823633832	 0.177785596298834	 0.101343751776767	 0.0156825520176816	 0.0227657627148386	 0.00143157913070125	 0.00646835081632026	 0.0086775804120318	 0.000451011393219214	 0.0007677869243492	 0.00465592345287946	 0.249424881733998	 0.0432076651128273	 0.00190644298352672	 
18000	 -387.6273791585	 22.0208994204158	 0.3958	 1	 0.177003633543026	 0.122052093614053	 0.154679310416447	 0.136718271677534	 0.0475394212407026	 0.00980266831323473	 0.0187076059024124	 0.00154964179470829	 0.000619526794776419	 0.0061546711542668	 0.00106791745668297	 0.00458925818934681	 0.143499360498171	 0.123136097945142	 0.00653589066648703	 
